data,id,data,volume,chuva,tempMax,diff,medMov.chuva,medMov.diff,medMov.temp
2017-01-01,6211,2017-01-01,452.9503,8.4,31,0.35351,5.056667,0.275564,31.53333
2017-01-02,6212,2017-01-02,452.5387,0.0,31,-0.4116,4.976667,0.2635293,31.6
2017-01-03,6213,2017-01-03,452.0478,0.9,31,-0.49084,4.916667,0.2406787,31.73333
2017-01-04,6214,2017-01-04,451.3192,9.9,30,-0.72867,5.336667,0.1596053,31.8
2017-01-05,6215,2017-01-05,450.6237,0.0,31,-0.6955,5.123333,0.08678667,31.86667
2017-01-06,6216,2017-01-06,449.6662,2.2,30,-0.95749,5.01,0.005529333,31.8
2017-01-07,6217,2017-01-07,448.796,4.6,30,-0.87012,5.316667,-0.02783667,31.53333
2017-01-08,6218,2017-01-08,449.5962,6.5,31,0.8002,4.436667,0.00083,31.46667
2017-01-09,6219,2017-01-09,449.6283,2.25,32,0.03205,4.173333,-0.01415467,31.6
2017-01-10,6220,2017-01-10,454.2161,39.95,31,4.58778,5.28,0.1441593,31.46667
2017-01-11,6221,2017-01-11,458.6741,23.1,30,4.45798,6.82,0.378388,31.26667
2017-01-12,6222,2017-01-12,461.0244,10.95,26,2.35033,7.55,0.5215133,30.73333
2017-01-13,6223,2017-01-13,467.205,26.925,28,6.18058,9.078333,0.9295607,30.4
2017-01-14,6224,2017-01-14,472.1745,4.3,31,4.9695,9.365,1.273982,30.33333
2017-01-15,6225,2017-01-15,479.6119,14.3,30,7.4374,10.285,1.801007,30.2
2017-01-16,6226,2017-01-16,486.8342,37.8,29,7.22235,12.245,2.25893,30.06667
2017-01-17,6227,2017-01-17,493.5694,23.4,25,6.73515,13.805,2.73538,29.66667
2017-01-18,6228,2017-01-18,500.6453,28.0,24,7.0759,15.61167,3.239829,29.2
2017-01-19,6229,2017-01-19,511.6371,13.6,26,10.99184,15.85833,4.021197,28.93333
2017-01-20,6230,2017-01-20,519.948,18.8,24,8.3109,17.11167,4.621623,28.46667
2017-01-21,6231,2017-01-21,528.8574,9.1,24,8.90939,17.57167,5.279415,28.06667
2017-01-22,6232,2017-01-22,542.3374,35.9,22,13.47999,19.65833,6.236089,27.53333
2017-01-23,6233,2017-01-23,555.576,21.75,26,13.23865,20.675,7.065319,27.2
2017-01-24,6234,2017-01-24,562.881,4.6,30,7.30501,20.83167,7.550183,27.06667
2017-01-25,6235,2017-01-25,568.4866,8.4,29,5.60553,18.72833,7.618033,26.93333
2017-01-26,6236,2017-01-26,572.496,2.05,27,4.00947,17.325,7.588133,26.73333
2017-01-27,6237,2017-01-27,577.1932,12.2,26,4.69713,17.40833,7.744586,26.73333
2017-01-28,6238,2017-01-28,581.1727,7.65,30,3.97955,16.12333,7.597851,26.86667
2017-01-29,6239,2017-01-29,584.421,0.0,31,3.24827,15.83667,7.483102,26.86667
2017-01-30,6240,2017-01-30,586.4505,0.0,29,2.02952,14.88333,7.122577,26.8
2017-01-31,6241,2017-01-31,590.4016,15.6,29,3.95105,13.40333,6.90449,26.8
2017-02-01,6242,2017-02-01,592.0489,0.7,28,1.64731,11.89,6.565301,27.0
2017-02-02,6243,2017-02-02,595.4099,11.05,27,3.36102,10.76,6.317642,27.2
2017-02-03,6244,2017-02-03,598.9874,11.6,29,3.57753,10.62667,5.823355,27.4
2017-02-04,6245,2017-02-04,601.5688,5.7,29,2.58138,9.753333,5.441387,27.73333
2017-02-05,6246,2017-02-05,604.2687,5.1,31,2.69988,9.486667,5.027419,28.2
