MODOPRIN,FE_VIA,CRITERIOBR
A pe,22.132647,C1
A pe,22.132647,C1
Metro,18.882487,C1
Metro,18.882487,C1
Taxi,18.882487,C1
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.438598,C2
A pe,22.438598,C2
A pe,22.438598,C2
A pe,22.438598,C2
Metro,22.438598,C2
Metro,22.438598,C2
Metro,22.132647,C2
A pe,22.132647,C2
Metro,22.132647,C2
Outros,1.0,C1
A pe,18.882487,C1
A pe,18.882487,C1
A pe,18.882487,C1
Outros,1.0,C2
Metro,22.132647,B2
Metro,22.132647,B2
Onibus,24.079179,B2
Onibus,24.079179,B2
Metro,18.882487,B2
Metro,18.882487,B2
Metro,22.132647,B2
Metro,22.132647,B2
Metro,22.132647,B2
Outros,1.0,B2
Outros,1.0,D-E
Metro,22.132647,C1
Onibus,24.079179,C1
Outros,1.0,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,22.132647,B2
A pe,22.132647,B2
Carro,22.132647,B2
Carro,22.132647,B2
Fretado,22.132647,A
Fretado,22.132647,A
Outros,1.0,A
Onibus,24.079179,B2
A pe,22.132647,B2
Onibus,24.079179,B2
Carro,22.132647,B2
Onibus,117.853393,B2
Onibus,117.853393,B2
Onibus,117.853393,B2
Onibus,117.853393,B2
Metro,22.132647,B2
Metro,22.132647,B2
Onibus,24.079179,B2
Metro,22.132647,B2
Metro,22.132647,B2
Outros,1.0,C2
A pe,18.882487,C2
A pe,18.882487,C2
A pe,18.882487,C2
A pe,18.882487,C2
A pe,18.882487,C2
Metro,22.132647,C2
Metro,22.132647,C2
Taxi,21.213446,A
Onibus,23.079136,A
A pe,18.882487,C2
A pe,18.882487,C2
A pe,18.882487,C2
A pe,18.882487,C2
Metro,18.882487,C2
Metro,18.882487,C2
A pe,22.132647,C2
Metro,22.132647,C2
A pe,43.191617,C1
A pe,43.191617,C1
A pe,43.191617,C1
A pe,43.191617,C1
Metro,36.848965,C1
Metro,36.848965,C1
A pe,43.788677,C1
A pe,43.788677,C1
A pe,43.788677,C1
A pe,43.788677,C1
A pe,43.788677,C1
A pe,43.788677,C1
A pe,54.586709,C1
A pe,54.586709,C1
Onibus,46.990252000000005,C1
Onibus,46.990252000000005,C1
Onibus,46.990252000000005,C1
Onibus,46.990252000000005,C1
Onibus,40.089773,C1
Onibus,40.089773,C1
Metro,36.848965,B2
A pe,36.848965,B2
A pe,36.848965,B2
Metro,36.848965,B2
Metro,43.191617,B2
A pe,43.191617,B2
A pe,43.191617,B2
Metro,43.191617,B2
Carro,43.191617,B2
Carro,43.191617,B2
Outros,1.0,B2
Taxi,54.586709,B2
Taxi,54.586709,B2
Metro,43.191617,C2
A pe,43.191617,C2
A pe,43.191617,C2
A pe,43.191617,C2
A pe,43.191617,C2
Metro,43.191617,C2
Metro,54.586709,C2
A pe,54.586709,C2
Metro,54.586709,C2
Metro,54.586709,C2
A pe,54.586709,C2
Metro,54.586709,C2
Onibus,40.089773,C1
Onibus,40.089773,C1
Metro,36.848965,C1
Metro,36.848965,C1
Onibus,40.089773,C1
Onibus,40.089773,C1
Outros,1.0,C1
Outros,1.0,C2
Metro,43.191617,C2
Metro,43.191617,C2
Carro,43.191617,C1
Carro,43.191617,C1
Carro,43.191617,C1
Carro,54.586709,C1
Escolar,54.586709,C1
Onibus,46.990252000000005,C1
Onibus,46.990252000000005,C1
A pe,43.788677,C1
A pe,43.788677,C1
Metro,43.788677,C1
Onibus,47.639823,C1
Outros,36.848965,B2
Onibus,40.089773,B2
Metro,43.191617,D-E
Metro,43.191617,D-E
Outros,1.0,D-E
Outros,1.0,C1
Metro,18.882487,C1
A pe,18.882487,C1
A pe,18.882487,C1
Metro,18.882487,C1
A pe,22.132647,C2
A pe,22.132647,C2
Metro,21.213446,D-E
Metro,21.213446,D-E
Outros,1.0,D-E
Onibus,24.079179,C2
Onibus,24.079179,C2
A pe,22.132647,B2
A pe,22.132647,B2
A pe,22.132647,B2
A pe,22.132647,B2
A pe,21.213446,B2
A pe,21.213446,B2
A pe,22.132647,C1
A pe,22.132647,C1
Carro,22.132647,C1
Carro,22.132647,C1
A pe,22.132647,C1
A pe,22.132647,C1
A pe,22.132647,C1
A pe,22.132647,C1
Escolar,27.971825,C1
Escolar,27.971825,C1
A pe,22.132647,D-E
A pe,22.132647,D-E
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
A pe,22.132647,C2
Metro,36.848965,C1
Onibus,40.089773,C1
Carro,43.191617,C1
Carro,43.191617,C1
Carro,43.191617,C1
Carro,43.191617,C1
Metro,43.191617,C2
Metro,43.191617,C2
Outros,1.0,C2
A pe,43.191617,C2
A pe,43.191617,C2
Metro,43.191617,C2
Metro,43.191617,C2
Escolar,43.191617,C2
Escolar,43.191617,C2
Metro,54.586709,C2
Metro,54.586709,C2
Escolar,54.586709,C2
Escolar,54.586709,C2
Metro,43.191617,C1
Metro,43.191617,C1
Outros,1.0,C1
A pe,43.191617,C1
A pe,43.191617,C1
A pe,43.191617,C1
A pe,43.191617,C1
Outros,1.0,C1
A pe,43.191617,A
A pe,43.191617,A
A pe,43.191617,A
A pe,43.191617,A
Metro,41.397807,B2
Metro,41.397807,B2
A pe,41.397807,B2
A pe,41.397807,B2
A pe,43.191617,B2
A pe,43.191617,B2
A pe,43.191617,B2
A pe,43.191617,B2
Outros,1.0,D-E
Onibus,46.990252000000005,D-E
Onibus,46.990252000000005,D-E
Metro,43.191617,C1
A pe,43.191617,B2
A pe,43.191617,B2
Metro,43.191617,B2
Metro,43.191617,B2
Metro,41.397807,B2
Metro,41.397807,B2
Metro,43.191617,C1
Metro,43.191617,C1
Metro,36.848965,C1
Metro,36.848965,C1
A pe,36.848965,C2
A pe,36.848965,C2
Escolar,54.586709,C2
Escolar,54.586709,C2
A pe,43.191617,C1
A pe,43.191617,C1
Onibus,46.990252000000005,B2
Onibus,46.990252000000005,B2
Outros,1.0,B2
Outros,1.0,C1
Outros,1.0,D-E
Outros,1.0,D-E
Metro,15.29771,C2
Metro,15.29771,C2
Metro,45.544085,C2
A pe,45.544085,C2
Metro,45.544085,C2
Carro,45.544085,C1
Carro,45.544085,C1
Carro,45.544085,C1
Carro,45.544085,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
A pe,82.41636899999999,C1
Outros,1.0,C1
A pe,68.021764,C1
A pe,68.021764,C1
Outros,1.0,C1
A pe,77.894926,C1
A pe,77.894926,C1
A pe,77.894926,C1
A pe,77.894926,C1
Outros,1.0,C1
A pe,177.07655400000002,C1
A pe,177.07655400000002,C1
Onibus,49.549616,B2
Metro,45.544085,B2
A pe,45.544085,B2
Metro,45.544085,B2
Metro,45.544085,B2
Onibus,43.269215,B2
Metro,39.771384000000005,B2
Metro,15.29771,C2
Metro,15.29771,C2
A pe,45.544085,C1
A pe,45.544085,C1
Metro,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Metro,45.544085,C1
Outros,1.0,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Outros,1.0,C1
Outros,1.0,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
A pe,45.544085,C1
Onibus,43.269215,C1
Metro,39.771384000000005,C1
A pe,98.108106,C1
A pe,98.108106,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
A pe,15.29771,C1
Outros,1.0,C1
